model,logo,perturbation,level,correct
gemma,Wells Fargo,Noise,1,True
gemma,Wells Fargo,Noise,2,True
gemma,Wells Fargo,Noise,3,True
gemma,Wells Fargo,Noise,4,True
gemma,AT&T,Saturate,1,True
gemma,AT&T,Saturate,2,True
gemma,AT&T,Saturate,3,True
gemma,AT&T,Saturate,4,True
gemma,Amazon,Saturate,1,True
gemma,Amazon,Saturate,2,True
gemma,Amazon,Saturate,3,True
gemma,Amazon,Saturate,4,True
gemma,American Express,Saturate,1,True
gemma,American Express,Saturate,2,True
gemma,American Express,Saturate,3,True
gemma,American Express,Saturate,4,True
gemma,Apple,Saturate,1,True
gemma,Apple,Saturate,2,True
gemma,Apple,Saturate,3,True
gemma,Apple,Saturate,4,True
gemma,Bank of America,Saturate,1,True
gemma,Bank of America,Saturate,2,True
gemma,Bank of America,Saturate,3,True
gemma,Bank of America,Saturate,4,True
gemma,Bitcoin,Saturate,1,True
gemma,Bitcoin,Saturate,2,True
gemma,Bitcoin,Saturate,3,True
gemma,Bitcoin,Saturate,4,True
gemma,Blue Style,Saturate,1,True
gemma,Blue Style,Saturate,2,True
gemma,Blue Style,Saturate,3,True
gemma,Blue Style,Saturate,4,True
gemma,Capital One,Saturate,1,True
gemma,Capital One,Saturate,2,True
gemma,Capital One,Saturate,3,True
gemma,Capital One,Saturate,4,True
gemma,Chase,Saturate,1,True
gemma,Chase,Saturate,2,True
gemma,Chase,Saturate,3,True
gemma,Chase,Saturate,4,True
gemma,Costco,Saturate,1,True
gemma,Costco,Saturate,2,True
gemma,Costco,Saturate,3,True
gemma,Costco,Saturate,4,True
gemma,DHL,Saturate,1,True
gemma,DHL,Saturate,2,True
gemma,DHL,Saturate,3,True
gemma,DHL,Saturate,4,True
gemma,Discover,Saturate,1,True
gemma,Discover,Saturate,2,True
gemma,Discover,Saturate,3,True
gemma,Discover,Saturate,4,True
gemma,ExxonMobil,Saturate,1,True
gemma,ExxonMobil,Saturate,2,True
gemma,ExxonMobil,Saturate,3,True
gemma,ExxonMobil,Saturate,4,True
gemma,Facebook,Saturate,1,True
gemma,Facebook,Saturate,2,True
gemma,Facebook,Saturate,3,True
gemma,Facebook,Saturate,4,True
gemma,FedEx,Saturate,1,True
gemma,FedEx,Saturate,2,True
gemma,FedEx,Saturate,3,True
gemma,FedEx,Saturate,4,True
gemma,Google,Saturate,1,True
gemma,Google,Saturate,2,True
gemma,Google,Saturate,3,True
gemma,Google,Saturate,4,True
gemma,JPMorganChase,Saturate,1,True
gemma,JPMorganChase,Saturate,2,True
gemma,JPMorganChase,Saturate,3,True
gemma,JPMorganChase,Saturate,4,True
gemma,Kroger,Saturate,1,False
gemma,Kroger,Saturate,2,False
gemma,Kroger,Saturate,3,True
gemma,Kroger,Saturate,4,True
gemma,Mastercard,Saturate,1,False
gemma,Mastercard,Saturate,2,False
gemma,Mastercard,Saturate,3,False
gemma,Mastercard,Saturate,4,False
gemma,McDonalds,Saturate,1,True
gemma,McDonalds,Saturate,2,True
gemma,McDonalds,Saturate,3,True
gemma,McDonalds,Saturate,4,True
gemma,McKesson,Saturate,1,True
gemma,McKesson,Saturate,2,True
gemma,McKesson,Saturate,3,True
gemma,McKesson,Saturate,4,True
gemma,Microsoft,Saturate,1,True
gemma,Microsoft,Saturate,2,True
gemma,Microsoft,Saturate,3,True
gemma,Microsoft,Saturate,4,True
gemma,Nike,Saturate,1,True
gemma,Nike,Saturate,2,True
gemma,Nike,Saturate,3,True
gemma,Nike,Saturate,4,True
gemma,Nurel Group,Saturate,1,False
gemma,Nurel Group,Saturate,2,False
gemma,Nurel Group,Saturate,3,False
gemma,Nurel Group,Saturate,4,False
gemma,P&G,Saturate,1,True
gemma,P&G,Saturate,2,True
gemma,P&G,Saturate,3,True
gemma,P&G,Saturate,4,True
gemma,PAGO,Saturate,1,True
gemma,PAGO,Saturate,2,True
gemma,PAGO,Saturate,3,True
gemma,PAGO,Saturate,4,True
gemma,PayPal,Saturate,1,False
gemma,PayPal,Saturate,2,False
gemma,PayPal,Saturate,3,False
gemma,PayPal,Saturate,4,False
gemma,Regions,Saturate,1,True
gemma,Regions,Saturate,2,True
gemma,Regions,Saturate,3,True
gemma,Regions,Saturate,4,True
gemma,State Farm,Saturate,1,True
gemma,State Farm,Saturate,2,True
gemma,State Farm,Saturate,3,True
gemma,State Farm,Saturate,4,True
gemma,SunTrust,Saturate,1,True
gemma,SunTrust,Saturate,2,True
gemma,SunTrust,Saturate,3,True
gemma,SunTrust,Saturate,4,True
gemma,Target,Saturate,1,True
gemma,Target,Saturate,2,True
gemma,Target,Saturate,3,True
gemma,Target,Saturate,4,True
gemma,The Home Depot,Saturate,1,True
gemma,The Home Depot,Saturate,2,False
gemma,The Home Depot,Saturate,3,True
gemma,The Home Depot,Saturate,4,False
gemma,UPS,Saturate,1,True
gemma,UPS,Saturate,2,True
gemma,UPS,Saturate,3,True
gemma,UPS,Saturate,4,True
gemma,United Healthcare,Saturate,1,True
gemma,United Healthcare,Saturate,2,True
gemma,United Healthcare,Saturate,3,True
gemma,United Healthcare,Saturate,4,True
gemma,VISA,Saturate,1,True
gemma,VISA,Saturate,2,True
gemma,VISA,Saturate,3,True
gemma,VISA,Saturate,4,True
gemma,WeChat,Saturate,1,False
gemma,WeChat,Saturate,2,False
gemma,WeChat,Saturate,3,False
gemma,WeChat,Saturate,4,False
gemma,Wells Fargo,Saturate,1,True
gemma,Wells Fargo,Saturate,2,True
gemma,Wells Fargo,Saturate,3,True
gemma,Wells Fargo,Saturate,4,True
gemma,P&G,Noise,5,True
gemma,P&G,Saturate,5,True
gemma,PayPal,Noise,5,True
gemma,PayPal,Saturate,5,False
gemma,State Farm,Noise,5,True
gemma,State Farm,Saturate,5,True
gemma,The Home Depot,Noise,5,True
gemma,The Home Depot,Saturate,5,False
gemma,United Healthcare,Noise,5,True
gemma,United Healthcare,Saturate,5,True
gemma,Wells Fargo,Noise,5,True
gemma,Wells Fargo,Saturate,5,True
gemma,American Express,Noise,5,True
gemma,American Express,Saturate,5,True
gemma,Apple,Noise,5,True
gemma,Apple,Saturate,5,True
gemma,Bank of America,Noise,5,True
gemma,Bank of America,Saturate,5,True
gemma,Bitcoin,Noise,5,True
gemma,Bitcoin,Saturate,5,True
gemma,Blue Style,Noise,5,True
gemma,Blue Style,Saturate,5,True
gemma,Capital One,Noise,5,True
gemma,Capital One,Saturate,5,True
gemma,Chase,Noise,5,True
gemma,Chase,Saturate,5,True
gemma,Costco,Noise,5,True
gemma,Costco,Saturate,5,True
gemma,DHL,Noise,5,True
gemma,DHL,Saturate,5,True
gemma,Discover,Noise,5,True
gemma,Discover,Saturate,5,True
gemma,ExxonMobil,Noise,5,True
gemma,ExxonMobil,Saturate,5,True
gemma,Facebook,Noise,5,True
gemma,Facebook,Saturate,5,True
gemma,FedEx,Noise,5,True
gemma,FedEx,Saturate,5,True
gemma,Google,Noise,5,True
gemma,Google,Saturate,5,True
gemma,JPMorganChase,Noise,5,True
gemma,JPMorganChase,Saturate,5,True
gemma,Kroger,Noise,5,True
gemma,Kroger,Saturate,5,True
gemma,Mastercard,Noise,5,True
gemma,Mastercard,Saturate,5,False
gemma,McDonalds,Noise,5,True
gemma,McDonalds,Saturate,5,True
gemma,McKesson,Noise,5,True
gemma,McKesson,Saturate,5,True
gemma,Microsoft,Noise,5,True
gemma,Microsoft,Saturate,5,True
gemma,Nike,Noise,5,True
gemma,Nike,Saturate,5,True
gemma,Nurel Group,Noise,5,True
gemma,Nurel Group,Saturate,5,False
gemma,PAGO,Noise,5,True
gemma,PAGO,Saturate,5,True
gemma,Regions,Noise,5,True
gemma,Regions,Saturate,5,True
gemma,SunTrust,Noise,5,True
gemma,SunTrust,Saturate,5,True
gemma,Target,Noise,5,True
gemma,Target,Saturate,5,True
gemma,UPS,Noise,5,True
gemma,UPS,Saturate,5,True
gemma,VISA,Noise,5,True
gemma,VISA,Saturate,5,True
gemma,WeChat,Noise,5,False
gemma,WeChat,Saturate,5,False
gemma,AT&T,Noise,5,True
gemma,AT&T,Saturate,5,True
gemma,Amazon,Noise,5,True
gemma,Amazon,Saturate,5,True
gemma,Amazon,Adversarial,1,True
gemma,American Express,Adversarial,1,False
gemma,Apple,Adversarial,1,False
gemma,AT&T,Adversarial,1,True
gemma,Bank of America,Adversarial,1,True
gemma,Bitcoin,Adversarial,1,False
gemma,Blue Style,Adversarial,1,False
gemma,Capital One,Adversarial,1,False
gemma,Chase,Adversarial,1,False
gemma,Costco,Adversarial,1,True
gemma,DHL,Adversarial,1,False
gemma,Discover,Adversarial,1,False
gemma,ExxonMobil,Adversarial,1,False
gemma,Facebook,Adversarial,1,False
gemma,FedEx,Adversarial,1,False
gemma,Google,Adversarial,1,True
gemma,JPMorganChase,Adversarial,1,False
gemma,Kroger,Adversarial,1,False
gemma,Mastercard,Adversarial,1,False
gemma,McDonalds,Adversarial,1,False
gemma,McKesson,Adversarial,1,False
gemma,Microsoft,Adversarial,1,False
gemma,Nike,Adversarial,1,False
gemma,Nurel Group,Adversarial,1,False
gemma,PAGO,Adversarial,1,False
gemma,PayPal,Adversarial,1,False
gemma,P&G,Adversarial,1,False
gemma,Regions,Adversarial,1,False
gemma,State Farm,Adversarial,1,False
gemma,SunTrust,Adversarial,1,False
gemma,Target,Adversarial,1,False
gemma,The Home Depot,Adversarial,1,True
gemma,United Healthcare,Adversarial,1,False
gemma,UPS,Adversarial,1,False
gemma,VISA,Adversarial,1,True
gemma,WeChat,Adversarial,1,False
gemma,Wells Fargo,Adversarial,1,False
gemma,Amazon,Adversarial,2,False
gemma,American Express,Adversarial,2,True
gemma,Apple,Adversarial,2,True
gemma,AT&T,Adversarial,2,False
gemma,Bank of America,Adversarial,2,False
gemma,Bitcoin,Adversarial,2,False
gemma,Blue Style,Adversarial,2,False
gemma,Capital One,Adversarial,2,True
gemma,Chase,Adversarial,2,True
gemma,Costco,Adversarial,2,False
gemma,DHL,Adversarial,2,False
gemma,Discover,Adversarial,2,False
gemma,ExxonMobil,Adversarial,2,False
gemma,Facebook,Adversarial,2,False
gemma,FedEx,Adversarial,2,False
gemma,Google,Adversarial,2,True
gemma,JPMorganChase,Adversarial,2,False
gemma,Kroger,Adversarial,2,False
gemma,Mastercard,Adversarial,2,False
gemma,McDonalds,Adversarial,2,False
gemma,McKesson,Adversarial,2,False
gemma,Microsoft,Adversarial,2,False
gemma,Nike,Adversarial,2,False
gemma,Nurel Group,Adversarial,2,False
gemma,PAGO,Adversarial,2,False
gemma,PayPal,Adversarial,2,False
gemma,P&G,Adversarial,2,False
gemma,Regions,Adversarial,2,False
gemma,State Farm,Adversarial,2,True
gemma,SunTrust,Adversarial,2,True
gemma,Target,Adversarial,2,False
gemma,The Home Depot,Adversarial,2,True
gemma,United Healthcare,Adversarial,2,False
gemma,UPS,Adversarial,2,False
gemma,VISA,Adversarial,2,False
gemma,WeChat,Adversarial,2,False
gemma,Wells Fargo,Adversarial,2,False
